p_column,threshold,pfa,pd
p_0.01,0.9268533887111354,1.0,1.0
p_0.01,0.9268555308019786,1.0,1.0
p_0.01,0.9268576728928216,1.0,1.0
p_0.01,0.9268598149836647,1.0,1.0
p_0.01,0.9268619570745078,1.0,1.0
p_0.01,0.9268640991653508,1.0,1.0
p_0.01,0.9268662412561939,1.0,1.0
p_0.01,0.9268683833470369,1.0,1.0
p_0.01,0.9268705254378801,1.0,1.0
p_0.01,0.9268726675287231,1.0,1.0
p_0.01,0.9268748096195661,1.0,1.0
p_0.01,0.9268769517104093,1.0,1.0
p_0.01,0.9268790938012523,1.0,1.0
p_0.01,0.9268812358920954,1.0,1.0
p_0.01,0.9268833779829385,1.0,1.0
p_0.01,0.9268855200737816,1.0,1.0
p_0.01,0.9268876621646246,1.0,1.0
p_0.01,0.9268898042554676,1.0,1.0
p_0.01,0.9268919463463108,1.0,1.0
p_0.01,0.9268940884371538,1.0,1.0
p_0.01,0.9268962305279969,1.0,1.0
p_0.01,0.92689837261884,1.0,1.0
p_0.01,0.926900514709683,1.0,1.0
p_0.01,0.9269026568005261,1.0,1.0
p_0.01,0.9269047988913692,1.0,1.0
p_0.01,0.9269069409822123,1.0,1.0
p_0.01,0.9269090830730553,1.0,1.0
p_0.01,0.9269112251638983,1.0,1.0
p_0.01,0.9269133672547415,1.0,1.0
p_0.01,0.9269155093455845,1.0,1.0
p_0.01,0.9269176514364276,1.0,1.0
p_0.01,0.9269197935272707,1.0,1.0
p_0.01,0.9269219356181138,1.0,1.0
p_0.01,0.9269240777089568,1.0,1.0
p_0.01,0.9269262197997999,1.0,1.0
p_0.01,0.926928361890643,1.0,1.0
p_0.01,0.926930503981486,1.0,1.0
p_0.01,0.9269326460723291,1.0,1.0
p_0.01,0.9269347881631722,1.0,1.0
p_0.01,0.9269369302540152,1.0,1.0
p_0.01,0.9269390723448583,1.0,1.0
p_0.01,0.9269412144357014,1.0,1.0
p_0.01,0.9269433565265445,1.0,1.0
p_0.01,0.9269454986173875,1.0,1.0
p_0.01,0.9269476407082307,1.0,1.0
p_0.01,0.9269497827990737,1.0,1.0
p_0.01,0.9269519248899167,1.0,1.0
p_0.01,0.9269540669807598,1.0,1.0
p_0.01,0.9269562090716029,1.0,1.0
p_0.01,0.926958351162446,1.0,1.0
p_0.01,0.926960493253289,1.0,1.0
p_0.01,0.9269626353441321,1.0,1.0
p_0.01,0.9269647774349752,1.0,1.0
p_0.01,0.9269669195258182,1.0,1.0
p_0.01,0.9269690616166614,1.0,1.0
p_0.01,0.9269712037075044,1.0,1.0
p_0.01,0.9269733457983474,1.0,1.0
p_0.01,0.9269754878891905,1.0,1.0
p_0.01,0.9269776299800336,1.0,1.0
p_0.01,0.9269797720708767,1.0,1.0
p_0.01,0.9269819141617197,1.0,1.0
p_0.01,0.9269840562525629,1.0,1.0
p_0.01,0.9269861983434059,1.0,1.0
p_0.01,0.9269883404342489,1.0,1.0
p_0.01,0.9269904825250921,1.0,1.0
p_0.01,0.9269926246159351,1.0,1.0
p_0.01,0.9269947667067782,1.0,1.0
p_0.01,0.9269969087976212,1.0,1.0
p_0.01,0.9269990508884643,1.0,1.0
p_0.01,0.9270011929793074,1.0,1.0
p_0.01,0.9270033350701504,1.0,1.0
p_0.01,0.9270054771609936,1.0,1.0
p_0.01,0.9270076192518366,1.0,1.0
p_0.01,0.9270097613426797,1.0,1.0
p_0.01,0.9270119034335228,1.0,1.0
p_0.01,0.9270140455243658,1.0,1.0
p_0.01,0.9270161876152089,1.0,1.0
p_0.01,0.927018329706052,1.0,1.0
p_0.01,0.9270204717968951,1.0,1.0
p_0.01,0.9270226138877381,1.0,1.0
p_0.01,0.9270247559785811,1.0,1.0
p_0.01,0.9270268980694243,1.0,1.0
p_0.01,0.9270290401602673,1.0,1.0
p_0.01,0.9270311822511104,1.0,1.0
p_0.01,0.9270333243419535,1.0,1.0
p_0.01,0.9270354664327966,1.0,1.0
p_0.01,0.9270376085236396,1.0,1.0
p_0.01,0.9270397506144827,1.0,1.0
p_0.01,0.9270418927053258,1.0,1.0
p_0.01,0.9270440347961688,1.0,1.0
p_0.01,0.9270461768870119,1.0,1.0
p_0.01,0.927048318977855,1.0,1.0
p_0.01,0.927050461068698,1.0,1.0
