p,pd,threshold_source,test_stats_source
0.01,0.542,/home/inatel-crr/Documents/Atividades/2026/TVWS/results/thresholds.csv,computed_from_h1_parquet
0.05,0.5453333333333333,/home/inatel-crr/Documents/Atividades/2026/TVWS/results/thresholds.csv,computed_from_h1_parquet
0.1,0.5443333333333333,/home/inatel-crr/Documents/Atividades/2026/TVWS/results/thresholds.csv,computed_from_h1_parquet
0.25,0.5413333333333333,/home/inatel-crr/Documents/Atividades/2026/TVWS/results/thresholds.csv,computed_from_h1_parquet
0.5,0.5393333333333333,/home/inatel-crr/Documents/Atividades/2026/TVWS/results/thresholds.csv,computed_from_h1_parquet
1.0,0.523,/home/inatel-crr/Documents/Atividades/2026/TVWS/results/thresholds.csv,computed_from_h1_parquet
2.0,0.437,/home/inatel-crr/Documents/Atividades/2026/TVWS/results/thresholds.csv,computed_from_h1_parquet
